title,url,module,key1,key2,key3,key4,key5,key6,key7,key8,key9,key10,name,place
COMEX黄金升破1400美元关口！黄金概念股集体拉升,http://www.chinanews.com/stock/2019/06-21/8871165.shtml,中美贸易影响,黄金,美联储,降息,牛市,旺季,花旗,表现,指出,利率,季节性,慈航/利多,山东/美国/长安
德勤预测今年上半年香港新股市场排名全球第三,http://www.chinanews.com/cj/2019/06-19/8869427.shtml,中美贸易影响,新股,上半年,香港,市场,上市,德勤,集资,内地,中国,巿,张炜/欧美伊/吴晓辉,香港/中国/英国
香港最新失业率保持2.8%,http://www.chinanews.com/ga/2019/06-19/8869486.shtml,中美贸易影响,就业,香港,失业率,期间,大致,行业,稳定,经济,情况,光,刘辰瑶/鄂志寰,香港/湾区
港股大幅上扬连升第三天,http://www.chinanews.com/cj/2019/06-19/8869574.shtml,中美贸易影响,升,香港,中国,科技,市,港股,当日,成份股,恒指,中新社,梁今/欧振兴,香港/中国/金沙/银河/上海/尚志
柬埔寨各界人士批评美国贸易保护主义政策,http://www.chinanews.com/gj/2019/06-17/8867313.shtml,中美贸易影响,美国,柬埔寨,世界,单边主义,经济,国家,保护主义,挑起,贸易摩擦,全球,毛鹏飞/贺南洪/卡利安/强万纳/贝尔泰/约瑟夫马修斯/马修斯/埃塔,金边/柬埔寨/美国/亚洲/中国
人民日报署名文章：世上本无“修昔底德陷阱”,http://www.chinanews.com/gn/2019/06-18/8867583.shtml,中美贸易影响,美国,中国,世界,全球,国际,战略,发展,华盛顿,博弈,经济,修昔底/格雷厄姆/艾利森/习近平/戚戚/华盛顿/托马斯弗里德曼/史蒂夫班农/李光耀/卡菲舍尔/额达/福布斯/马丁沃尔夫/克雷格艾伦/克里斯库恩斯/董云裳/约瑟夫奈/霍布斯/杰弗里萨克斯/基辛格/福美/爱因斯坦/傅立民/吉米卡特/马哈蒂尔/布热津斯基/罗伯特库珀,美国/北京/古希腊/德伯/雅典/斯巴达/真如/关中/中国/白宫/新加坡/德国/苏联/伊拉克/美中/英国/东亚/韩国/南非/中美合作/以利/马来西亚/欧洲
威胁越升级，反制越坚决,http://www.chinanews.com/gn/2019/06-15/8865663.shtml,中美贸易影响,中国,美国,美方,贸易战,反制,事情,施压,国家,国内,发展,陶然/白来/谈白/白见/特朗普/彭博社/令狐,中国/美国/大阪/赣南/日本/阿根廷
美国企业和贸易协会敦促政府勿对中国商品加征关税,http://www.chinanews.com/gn/2019/06-14/8864731.shtml,中美贸易影响,美国,关税,加征,中国,美国政府,企业,信函,贸易,协会,商品,华盛顿/许缘/特朗普,美国/中国
反对单边贸易保护主义——来自中土经贸合作交流会的声音,http://www.chinanews.com/gn/2019/06-13/8863812.shtml,中美贸易影响,中国,土耳其,土,国家,一带,美国,发展,合作,国,华为,邓励/佩林切克多/佩林切克/扎克/昆波/苏宁/塔什/尤德/耶尔德兹/尔凯尔/冯源,土耳其/安卡拉/中国/美国/伊斯坦布尔/西方/亚洲
亚美尼亚友人：美国挑起对华经贸摩擦是软弱和盲目的表现,http://www.chinanews.com/gn/2019/06-13/8863854.shtml,中美贸易影响,美国,彼得罗相,中国,美国政府,挑起,摩擦,和平,亚美尼亚,国家,新华社,彼得罗相/李佳,亚美尼亚/美国/明斯克/中国/欧洲/亚洲/非洲/拉丁美洲
