title,url,module,key1,key2,key3,key4,key5,key6,key7,key8,key9,key10,name,place
特朗普称或长期保留对华商品加征的关税 中方回应,http://news.sina.com.cn/c/2019-03-21/doc-ihsxncvh4446185.shtml,中日关系,中国,合作,国家,发展,交流,煤炭,美国,国际,中,叙利亚,耿爽/邓锡军/习近平/莫方/汉班托塔/斯方/解晓岩/晓岩/博格诺夫/维尔什宁/巴科/于本周/国元首,中国/台湾地区/美国/阿富汗/俄罗斯/莫桑比克/非洲/斯里兰卡/印度/叙利亚/布鲁塞尔/约旦/中东/哈佛/北京/亚洲/欧洲/新疆/澳大利亚/以色列
中国特色大国外交，是什么样？,http://news.sina.com.cn/o/2018-05-16/doc-iharvfht6221852.shtml,习近平发展外交,中国,习近平,外交,命运,发展,建设,共同体,合作,大国,国际,习近平,中国/厦门/亚洲/日内瓦/非洲
杨洁篪：习近平外交思想的指导地位确立,http://news.sina.com.cn/c/2018-06-23/doc-iheirxye6844947.shtml,习近平发展外交,工作,对外,习近平,外交,发展,把握,我国,推动,中国,世界,习近平/李克强/王沪宁/赵乐际/韩正/王岐山/刘德宾,中国/北京/广东省/香港/澳门
中国外交官“硬刚”蓬佩奥的这句话 被外国网友狂赞,http://mil.news.sina.com.cn/china/2019-04-16/doc-ihvhiqax3270787.shtml,美国报道,蓬佩,中国,智利,美国,网友,大使,外交官,访问,国家,拉美,蓬佩/陆慷/佩奥/科普/马杜罗/皮涅拉,中国/美国/智利/巴拉圭/秘鲁/哥伦比亚/四国/委内瑞拉/上海/太平洋
孟晚舟被拘押 外交部接连回应9个相关问题,http://mil.news.sina.com.cn/2018-12-06/doc-ihmutuec6830247.shtml,孟晚舟事件,中方,拘押,中国,加拿大,加,孟晚,当事人,美方,华为公司,发言人,耿爽/孟晚,中国/北京/加拿大/伊朗/温哥华
这是2019年迄今中国外交的最重大突破,http://news.sina.com.cn/c/2019-03-24/doc-ihtxyzsm0000440.shtml,中非合作,意大利,中国,投行,英国,美国,国家,利益,世界,外交,合作,加勒/奎斯/孔特/英韩/奥斯本/才大国,中国/美国/意大利/英国/德国/法国/日本/加拿大/西方/特马/意中/韩国/菲律宾/亚洲/欧洲/俄罗斯
外交部回应D&G辱华：不想上升为外交问题，该问中国民众怎么想,http://news.sina.com.cn/o/2018-11-22/doc-ihpevhck1475958.shtml,记者提问美方,外交,杜嘉班纳,希望,风波,中方,问询,外界,回应,中国,耿爽,耿爽/杜嘉班纳,中国
霸气 | 2018年中国外交部精彩回应，网友：有没有加长版…,http://mil.news.sina.com.cn/2018-12-15/doc-ihqhqcir1700945.shtml,记者提问美方,中国,美国,华春莹,回应,视频,例行,记者会,总统,网友,中方,蓬佩/华春莹/相由/特朗普/耿爽/杜嘉班纳/王毅/柯文哲,中国/美国/澳大利亚/白宫/多米尼加/巴拿马/拉美地区/俄罗斯/意大利
王毅告诉你 这就是中国外交,http://news.sina.com.cn/c/2019-03-08/doc-ihrfqzkc2166779.shtml,中印关系,中国,外交,王毅,服务,独立自主,追求,基石,互利,天下为公,坚守,王毅/张建利,中国
外交部记者会罕见一幕 华春莹三问外媒现场沉默,http://news.sina.com.cn/c/nd/2018-01-30/doc-ifyqyqni5607627.shtml,企业合作,外国,中国,华春莹,工作,外交部,外,现场,环境,报告,媒,华春莹/张迪,日本/西方/中国/北京
"瑞典这件事,我为什么站中国外交部。",http://mil.news.sina.com.cn/2018-09-22/doc-ifxeuwwr7174564.shtml,俄罗斯新闻,瑞典,中国,事件,交涉,游客,酒店,回应,外交,公民,警方,伦敦/瑞方,瑞典/中国
孟晚舟被捕 外交部一天回应9个相关问题,http://news.sina.com.cn/c/2018-12-06/doc-ihmutuec6818710.shtml,孟晚舟事件,合作,中方,中国,也门,加,中葡,当事人,中,相关,提供,耿爽/习近平/德索萨/格里菲斯/李勇浩/金明,中国/温哥华/葡萄牙/北京/也门/瑞典
关于美方发动贸易战 外交部这句话特地说了2次,http://news.sina.com.cn/c/2018-07-11/doc-ihfefkqq2989366.shtml,中美贸易,中方,美国,贸易战,美方,国际,全球,贸易,发言人,关税,社会,华春莹/阿泽维多/格林斯潘/卡尼/张迪,中国/美国/英国
你只看见华春莹哈哈大笑，却想不到她是这样的外交部发言人！,http://news.sina.com.cn/o/2017-12-25/doc-ifypwzxq6532126.shtml,脱欧事件,华春莹,发言人,中国,外交部,香香,同学,组织,霸气,学习,美国,华春莹/熊猫宝宝/杉山/华姐/来华春/李肇星/义凌,东京/上野/日本/中国/江苏省/淮阴县/淮安市/清河区/苏北/西欧/新加坡/欧洲/美国/朝鲜/南海/西方
瑞典这件事，中国外交部发声了！,http://mil.news.sina.com.cn/2018-09-17/doc-ihkhfqns0768185.shtml,俄罗斯新闻,瑞典,中方,中国,瑞方,回应,情况,游客,耿爽,调查,警察,耿爽/瑞方/瑞方彻,中国/瑞典/斯德哥尔摩
中国这一年的周边外交 王毅用6个词概括,http://news.sina.com.cn/c/2018-12-12/doc-ihmutuec8383356.shtml,习近平发展外交,中国,外交,国际,关键词,合作,坚守,世界,面对,发展,体系,王毅/习近平,中国/朝鲜半岛/伊朗/阿富汗/缅北/叙利亚/巴勒斯坦
"蔡英文称不竞争""金钱外交"" 我外交部直斥其自欺欺人",http://mil.news.sina.com.cn/2018-05-29/doc-ihcffhsv1251358.shtml,中湾关系,中国,布基纳法索,国家,世界,国际,正确,原则,发展,友好,证明,华春莹/布方/卡里姆/卡博雷,中国/布基纳法索/大陆/台湾/中华人民共和国/中非
中方将于何时与布基纳法索建交？我外交部回应,http://mil.news.sina.com.cn/2018-05-25/doc-ihcaquet9797809.shtml,中湾关系,布基纳法索,中国,中方,政府,国家,原则,外交关系,潮流,国际,台湾,陆慷,布基纳法索/台湾/瓦加杜古/中国/非洲/中非
请同情一下我们！今天台湾“外交部长”快哭出来了,http://mil.news.sina.com.cn/2018-05-28/doc-ihcffhsu5043889.shtml,中湾关系,台湾,吴钊燮,马文君,美国,部门,外事,国民党,立委,协会,交流,吴钊燮/马文君/台师/马英九/安倍亲,台湾地区/台湾/日本/花莲/美国
外交部发言人答记者问,http://news.sina.com.cn/c/2018-10-06/doc-ifxeuwws1331053.shtml,中美关系,中国,华春莹,美方,人权,中方,敦促,涉,台独,原则,稳定,华春莹/彭斯,北京/美国/中国/台湾/南海/台中/南海诸岛/南沙
外交语言“太侵略”？呵呵，王毅的金句回应你,http://news.sina.com.cn/c/2019-03-08/doc-ihsxncvh0849230.shtml,中美关系,王毅,中国,政治,回答,提问,走向,国家,信任,美国,解决,朱珉/张骏吴/舒抒王/王毅/孟晚舟/特朗普,梅地亚/中国/南海/中南海/惠民/非洲/美国/加拿大/瑞典/中俄
头条 | 怒！这个台湾“友邦”竟然不认中国外交护照,http://mil.news.sina.com.cn/2018-09-05/doc-ihitesuy4944179.shtml,中湾关系,瑙鲁,太平洋,报道,论坛,中国,峰会,岛国,国家,台湾,代表,巴伦瓦卡/瓦卡/伊拉埃帕/亚伦/洛伊/吴钊燮/盖帝/国多,瑙鲁/太平洋/中国/台湾/萨摩亚/大洋洲/澳大利亚/美国/新西兰/法国
外交部回应若美航企拒改涉台标注:让我们拭目以待,http://news.sina.com.cn/c/nd/2018-07-24/doc-ihftenhz6899935.shtml,记者提问美方,中国,原则,外交部,航,企,做出,拭目以待,耿爽,涉,更改,王盼/耿爽/霍宇昂,中国/美国
台方面称中萨建交是大陆“金元外交” 外交部回应,http://news.sina.com.cn/c/nd/2018-08-21/doc-ihhzsnea3497247.shtml,中湾关系,台湾,中国,萨尔瓦多,建交,外交部,世界,陆慷,希望,建立,政治决断,陆慷/萨尔瓦多/王毅/卡斯塔内达/萨方/霍宇昂,台湾/中国/大陆/中华人民共和国
外交部：文明对话是各国和平相处重要保障,http://news.sina.com.cn/c/2019-05-13/doc-ihvhiqax8371553.shtml,中国维护世界和平,文明,对话,耿爽,希腊,中方,世界,发言人,和平,亚洲,推动,帕夫洛普洛斯/耿爽,亚洲/希腊/中国
